seconds,throughput/second
1,154
2,2544
3,2166
4,2981
5,3190
6,3154
7,3227
8,3241
9,3115
10,3207
11,3250
12,3195
13,3213
14,3217
15,3166
16,3243
17,3247
18,3160
19,3183
20,3245
21,3216
22,3193
23,3241
24,3216
25,3073
26,3224
27,3239
28,3239
29,3175
30,3237
31,3240
32,3173
33,3070
34,3242
35,3224
36,3233
37,3191
38,3223
39,3238
40,3181
41,3256
42,2970
43,3227
44,3235
45,3194
46,3223
47,3234
48,3191
49,3225
50,3234
51,3239
52,3229
53,2932
54,3234
55,3226
56,3236
57,3219
58,3233
59,2864
60,3225
61,3233
62,3193
63,3228
64,3238
65,3214
66,3199
67,3239
68,3177
69,3233
70,3240
71,3180
72,3206
73,3217
74,3226
75,3235
76,2952
77,3242
78,3225
79,3185
80,3237
81,3180
82,3237
83,3185
84,3230
85,3235
86,3238
87,3234
88,3233
89,3235
90,3238
91,2877
92,3239
93,3233
94,3228
95,3189
96,3232
97,3234
98,3237
99,2926
100,3183
101,3235
102,3234
103,3233
104,3183
105,3232
106,3236
107,3181
108,3236
109,3232
110,3188
111,3225
112,3195
113,3225
114,3231
115,3043
116,3228
117,3184
118,3247
119,3193
120,3218
121,3244
122,3242
123,3216
124,3225
125,3192
126,3241
127,3247
128,3221
129,3194
130,2911
131,3230
132,3241
133,3244
134,3226
135,3291
136,3251
137,3184
138,3244
139,3244
140,3224
141,3242
142,2807
143,3243
144,3191
145,3235
146,3237
147,3206
148,3229
149,3183
150,3241
151,3237
152,3232
153,3233
154,3190
155,3236
156,3228
157,2801
158,2824
